time, temp, ax, ay, az, gx, gy, gz, mx, my, mz,
7.248952e+00, 2.282107e+01, -2.250550e-01, -5.875371e+00, -7.893683e+00,8.731176e+00, -2.014723e+00, 1.724012e+00,1.950000e-06, -1.500000e-06, 7.065000e-05,
7.352223e+00, 2.301276e+01, 1.716643e+00, -1.750880e+01, -7.922413e+00,8.404227e-01, 7.540888e-01, -3.019020e-01,9.000000e-07, 1.410000e-05, 4.560000e-05,
7.455760e+00, 2.315653e+01, -2.394202e-02, -1.098939e+01, -2.638410e+00,4.452588e-01, 1.177764e-01, 6.413752e-01,3.000000e-06, 1.650000e-05, 4.365000e-05,
7.559278e+00, 2.277315e+01, -1.084573e+00, -9.299079e+00, -2.394202e+00,4.579957e+00, 1.945176e-01, 3.465611e+00,-6.000000e-06, 2.040000e-05, 3.705000e-05,
7.662786e+00, 2.296484e+01, -2.468422e+00, -9.337386e+00, 3.545813e+00,4.401694e+00, -1.071979e+00, -9.531363e-01,-1.080000e-05, 1.890000e-05, 9.450000e-06,
7.766227e+00, 2.310861e+01, -2.068590e+00, -5.396531e+00, 7.584831e+00,4.878129e+00, -2.347268e+00, -2.147688e-01,-1.065000e-05, 1.005000e-05, -5.400000e-06,
7.869697e+00, 2.301276e+01, -6.129156e-01, -2.643199e+00, 9.109937e+00,6.549648e+00, 1.450888e+00, 2.527930e+00,-9.600000e-06, -1.695000e-05, -2.520000e-05,
7.973145e+00, 2.334822e+01, -4.096479e+00, 5.923255e+00, 1.185848e+01,3.996671e+00, -1.087966e+00, -1.526830e-01,-1.155000e-05, -4.725000e-05, -2.220000e-05,
8.076584e+00, 2.296484e+01, -8.643068e-01, 7.987057e+00, 6.500258e+00,6.216303e+00, 3.765115e-01, -7.098561e-01,-6.450000e-06, -5.760000e-05, -1.485000e-05,
8.179970e+00, 2.296484e+01, -7.781155e-01, 7.905654e+00, 7.678205e+00,2.414150e-01, -2.543917e+00, 8.873201e-02,-9.450000e-06, -6.810000e-05, -9.300000e-06,
8.283397e+00, 2.286899e+01, -6.507440e+00, 8.635885e+00, 7.501034e+00,-4.491492e+00, -1.322720e+00, 1.570796e+00,-3.750000e-06, -6.345000e-05, -1.080000e-05,
8.386862e+00, 2.296484e+01, 3.136404e-01, 5.425261e+00, 8.734048e+00,-5.832597e+00, 6.168607e-01, -4.236754e-02,-1.200000e-06, -4.665000e-05, -2.010000e-05,
8.490403e+00, 2.320445e+01, -4.357447e-01, 2.609680e+00, 1.373314e+01,1.726677e-01, -2.142358e-01, -4.703063e-01,-6.600000e-06, -3.540000e-05, -2.385000e-05,
8.593920e+00, 2.320445e+01, -1.376666e+00, 3.995923e+00, 8.609549e+00,-7.564604e+00, 2.800521e-01, -3.877562e+00,-1.530000e-05, -2.430000e-05, -2.670000e-05,
8.697395e+00, 2.301276e+01, 5.339070e-01, -8.983045e+00, 3.284845e+00,1.106885e+00, 1.532692e+00, -4.068882e-01,4.950000e-06, 1.530000e-05, 1.380000e-05,
